id,type,genres,average_rating,num_votes
3475,tvSeries,"Action,Crime,Drama",6.0,1016
3476,tvSeries,Reality-TV,8.2,2044
3477,movie,"Drama,Music,Mystery",7.0,2570
3478,tvMiniSeries,"Crime,Drama",7.5,17400
3479,tvMovie,Drama,7.3,113
3480,movie,"Action,Adventure,Drama",6.9,20296
3481,movie,"Biography,Documentary",7.6,3865
3482,movie,"Crime,Drama,Mystery",7.3,14955
3483,movie,"Action,Crime,Drama",6.7,13186
3484,movie,"Action,Crime,Thriller",5.3,15315
3485,movie,"Action,Adventure,Family",5.7,56343
3486,movie,"Drama,Romance",6.7,47508
3487,tvMovie,"Comedy,Drama,Family",5.9,8747
3488,movie,"Drama,History",6.3,953
3489,movie,"Action,Crime,Drama",6.8,40650
3490,movie,"Biography,Drama,Sport",8.2,325574
3491,movie,"Drama,Horror,Mystery",4.9,2462
3492,movie,Horror,3.8,2716
3493,tvSeries,"Drama,Fantasy,Mystery",7.5,20810
3494,movie,"Mystery,Thriller",7.6,4515
3495,movie,Documentary,6.9,2045
3496,movie,"Action,Adventure,Comedy",5.8,3901
3497,movie,Drama,8.0,477903
3498,movie,Drama,7.0,121
3499,tvSeries,"Animation,Comedy,Family",6.4,57
3500,movie,"Comedy,Drama",5.9,612
3501,tvSeries,"Drama,Sci-Fi",7.2,9077
3502,movie,"Drama,Family,Sport",5.6,1334
3503,movie,"Drama,Romance",7.2,5269
3504,movie,"Action,Comedy,Drama",6.2,7104
3505,movie,"Crime,Thriller",6.1,3987
3506,tvSeries,History,9.0,253
3507,movie,"Comedy,Drama,Family",5.8,1666
3508,movie,"Drama,Romance",7.3,637
3509,movie,Horror,4.7,157
3510,video,Comedy,4.7,363
3511,movie,"Action,Crime,Drama",5.4,3670
3512,movie,"Drama,Musical,Romance",6.7,949
3513,tvSeries,History,7.6,71
3514,movie,Drama,6.7,1604
3515,movie,"Comedy,Drama,Family",6.7,1044
3516,movie,"Action,Crime,Thriller",4.8,2833
3517,movie,"Action,Horror",6.3,3432
3518,movie,Thriller,5.4,23
3519,movie,"Comedy,Crime,Drama",8.2,113162
3520,movie,"Adventure,Animation,Comedy",7.2,240115
3521,tvEpisode,"Comedy,Short",5.0,6
3522,movie,"Action,Drama,History",5.6,3849
3523,movie,"Action,Crime,Drama",7.1,596
3524,movie,"Music,Romance",5.2,217
3525,movie,"Documentary,Horror",6.5,1434
3526,tvEpisode,"Animation,Comedy",6.9,264
3527,tvEpisode,"Animation,Comedy",7.2,103
3528,short,"Horror,Mystery,Short",5.4,14
3529,movie,"Drama,Horror,Mystery",4.6,7618
3530,movie,"Action,Adventure,Drama",5.9,8309
3531,tvSpecial,"Comedy,Documentary",7.2,1492
3532,tvSeries,"Action,Biography,Drama",5.8,124
3533,tvSeries,Reality-TV,6.7,137
3534,movie,Action,4.2,55
3535,movie,"Action,Comedy",4.7,15174
3536,movie,Comedy,5.9,2100
3537,movie,"Action,Drama,Sci-Fi",7.1,300319
3538,tvEpisode,"Comedy,Short",5.0,6
3539,tvSeries,"Comedy,Horror",5.4,1976
3540,short,"Animation,Short",6.8,5
3541,movie,"Drama,Mystery,Romance",6.0,32800
3542,movie,Drama,7.7,84388
3543,tvSeries,"Comedy,Drama,Family",7.2,5031
3544,tvMiniSeries,"Drama,History,War",7.2,2887
3545,tvEpisode,"Action,Documentary,Drama",7.9,102
3546,movie,Thriller,5.0,4541
3547,tvEpisode,"Action,Adventure,Animation",8.4,177
3548,tvSeries,"Action,Comedy,Drama",3.7,1087
3549,movie,Drama,6.5,244
3550,tvEpisode,"Action,Crime,Drama",9.1,330
3551,tvMiniSeries,Thriller,6.6,3775
3552,tvEpisode,"Crime,Drama,Mystery",7.9,162
3553,tvSeries,"Action,Adventure,Animation",7.2,596
3554,tvSeries,"Drama,Romance",7.3,1329
3555,movie,Documentary,6.6,611
3556,movie,"Horror,Thriller",4.3,1893
3557,movie,"Action,Drama",6.4,51595
3558,movie,Documentary,6.4,130
3559,movie,"Action,Crime,Drama",6.2,67218
3560,short,"Biography,Documentary,Drama",6.8,262
3561,movie,"Family,Horror,Romance",4.6,32
3562,short,"Documentary,Short",7.1,201
3563,movie,"Drama,Mystery,Thriller",7.2,6
3564,tvEpisode,"Action,Reality-TV,Sport",6.6,10
3565,tvSeries,"Drama,Romance",7.7,279
3566,short,"Documentary,Short",6.6,19
3567,short,"Documentary,Short",6.9,9
3568,short,Short,7.7,11
3569,movie,"Action,Crime,Drama",4.5,125
3570,tvSpecial,"Comedy,Music",6.1,465
3571,tvEpisode,"Action,Adventure,Drama",8.5,1854
3572,movie,"Documentary,Music",6.2,2414
3573,tvMovie,"Biography,Documentary",7.0,2303
3574,tvMovie,"Documentary,Drama",7.3,640
3575,tvMovie,"Crime,Documentary,Music",7.0,1065
3576,tvMovie,"Documentary,Music",7.3,1904
3577,tvMovie,Documentary,6.6,632
3578,movie,Comedy,5.1,15
3579,movie,"Drama,Mystery,Thriller",7.5,23470
3580,tvEpisode,"Drama,Horror,Thriller",8.7,9558
